date,open,high,low,close,volume
2016-01-26,39.34,39.56,37.78,38.71,24820900
2016-01-27,38.48,38.65,37.15,37.61,18086105
2016-01-28,38.16,38.26,36.48,37.94,22963770
2016-01-29,37.99,38.75,37.62,38.24,14261445
2016-02-01,37.75,39.9,36.55,39.39,26488195
2016-02-02,38.48,38.62,36.05,36.56,28868185
2016-02-03,36.72,36.79,34.04,34.7,39656810
2016-02-04,34.14,35.2,33.4,35.07,21926830
2016-02-05,34.26,34.6,31.55,32.52,47187955
2016-02-08,31.42,31.43,29.2,29.6,46564940
2016-02-09,28.46,31.96,28.21,29.65,43258240
2016-02-10,30.1,30.99,28.35,28.73,52032565
2016-02-11,30.4,32.65,29.4,30.09,71261820
2016-02-12,31.0,31.4,28.74,30.21,36178915
2016-02-16,31.74,32.59,30.82,31.03,27968970
2016-02-17,31.8,33.87,31.34,33.74,29125795
2016-02-18,34.48,34.59,32.95,33.35,19437870
2016-02-19,32.73,33.5,32.5,33.32,14796950
2016-02-22,34.02,35.78,33.97,35.55,25300255
2016-02-23,35.23,36.35,34.74,35.44,29921870
2016-02-24,34.55,35.9,33.57,35.8,26978045
2016-02-25,35.73,37.7,35.04,37.49,28753705
2016-02-26,37.74,38.4,37.0,38.07,30325585
2016-02-29,38.48,39.27,37.84,38.39,22494985
2016-03-01,38.85,39.19,36.54,37.27,33560795
2016-03-02,36.75,37.7,36.3,37.67,24311980
2016-03-03,37.66,39.48,36.84,39.15,24145090
2016-03-04,39.6,40.81,39.5,40.21,32445290
2016-03-07,39.54,41.94,39.48,41.06,26685360
2016-03-08,40.7,41.5,40.44,40.52,20893465
2016-03-09,40.9,41.87,40.56,41.74,16042770
2016-03-10,42.0,42.66,40.13,41.04,25962615
2016-03-11,41.59,41.88,41.07,41.5,16715385
2016-03-14,42.53,43.34,42.13,43.03,20328530
2016-03-15,42.85,43.79,42.3,43.67,15902260
2016-03-16,43.6,44.52,43.4,44.39,17583515
2016-03-17,44.29,45.7,44.0,45.28,18914455
2016-03-18,45.82,46.9,45.61,46.55,23558965
2016-03-21,47.07,47.98,47.0,47.66,26539110
2016-03-22,47.44,47.8,46.51,46.85,21579940
2016-03-23,46.47,46.95,44.41,44.52,24744205
2016-03-24,43.16,45.78,43.0,45.55,24804500
2016-03-28,46.32,46.96,45.0,46.05,19628425
2016-03-29,45.98,46.48,45.07,46.03,20071650
2016-03-30,47.02,47.1,45.3,45.38,20164910
2016-03-31,45.87,47.48,45.0,45.95,40064360
2016-04-01,48.97,49.58,46.65,47.52,79987545
2016-04-04,49.82,50.42,48.73,49.4,67376635
2016-04-05,48.1,51.31,48.0,51.09,49743495
2016-04-06,50.79,53.55,50.69,53.08,58527395
2016-04-07,53.29,53.87,50.9,51.44,44280855
2016-04-08,52.1,52.16,49.6,50.01,36819675
2016-04-11,50.2,51.8,49.06,49.98,45808465
2016-04-12,49.9,50.36,48.73,49.56,28816040
2016-04-13,49.7,51.1,49.47,50.91,24627975
2016-04-14,50.6,51.37,50.21,50.37,20660925
2016-04-15,50.26,50.92,49.82,50.9,18761830
2016-04-18,50.45,51.66,50.33,50.78,21356810
2016-04-19,50.62,50.87,48.25,49.47,31787630
2016-04-20,49.25,50.73,48.3,49.99,25970255
2016-04-21,49.8,50.18,49.38,49.66,13915295
2016-04-22,49.78,50.8,49.14,50.75,18931635
2016-04-25,50.6,51.48,50.15,50.36,18351740
2016-04-26,50.41,51.15,49.88,50.75,16119195
2016-04-27,50.55,51.0,49.88,50.29,16029040
2016-04-28,49.97,50.69,49.49,49.54,12594950
2016-04-29,49.63,49.69,47.56,48.15,27068935
2016-05-02,48.3,48.64,46.96,48.36,19219675
2016-05-03,47.47,47.78,46.32,46.46,21511110
2016-05-04,46.06,46.89,44.08,44.51,43502295
2016-05-05,45.69,45.73,41.96,42.31,56274135
2016-05-06,42.17,43.27,41.62,42.99,28426185
2016-05-09,43.14,43.23,41.36,41.78,23881915
2016-05-10,41.51,41.89,41.0,41.74,20353085
2016-05-11,41.52,43.1,41.21,41.79,25809320
2016-05-12,42.29,42.33,40.73,41.46,18252375
2016-05-13,41.56,42.24,41.34,41.52,14113905
2016-05-16,41.63,42.63,41.58,41.66,14746980
2016-05-17,41.81,41.96,40.8,40.93,14217985
2016-05-18,41.83,43.06,41.55,42.23,28087595
2016-05-19,42.72,43.36,41.46,43.04,34331605
2016-05-20,43.4,44.11,43.27,44.06,45035380
2016-05-23,43.97,44.52,43.17,43.24,25512395
2016-05-24,43.32,43.75,43.04,43.58,15069215
2016-05-25,43.58,44.27,43.3,43.92,15663075
2016-05-26,44.1,45.05,43.81,45.02,20362120
2016-05-27,45.0,45.19,44.15,44.61,18251360
2016-05-31,44.61,44.95,44.3,44.65,13945010
2016-06-01,44.3,44.48,43.38,43.91,14913475
2016-06-02,43.92,43.98,43.42,43.79,10164160
2016-06-03,44.0,44.39,43.6,43.8,11144850
2016-06-06,43.6,44.18,43.09,44.14,11247540
2016-06-07,44.45,46.89,44.3,46.47,31067865
2016-06-08,46.76,48.17,46.52,47.1,29859975
2016-06-09,47.0,47.07,45.41,45.87,22460375
2016-06-10,45.48,45.59,43.68,43.76,30133015
2016-06-13,43.9,45.15,43.53,43.57,20965110
2016-06-14,43.78,44.44,42.51,42.99,17900835
2016-06-15,43.39,44.38,43.03,43.54,14542610
2016-06-16,43.48,43.61,42.7,43.59,12201295
2016-06-17,43.56,44.0,42.9,43.09,15563100
2016-06-20,43.9,44.75,43.65,43.94,17777355
2016-06-21,44.14,44.51,43.76,43.92,22645025
2016-06-22,39.89,41.19,39.15,39.33,118712070
2016-06-23,39.14,39.51,38.43,39.28,50653740
2016-06-24,38.01,39.02,37.95,38.63,35132580
2016-06-27,38.17,39.76,37.57,39.71,36101615
2016-06-28,40.38,40.81,39.88,40.36,31062110
2016-06-29,41.03,42.36,40.6,42.04,29974540
2016-06-30,42.59,42.7,41.8,42.46,24215555
2016-07-01,41.23,43.65,41.2,43.3,26999755
2016-07-05,41.95,42.91,41.6,42.8,25876725
2016-07-06,42.0,43.05,41.8,42.89,24599275
2016-07-07,42.62,43.62,42.6,43.19,18060110
2016-07-08,43.56,43.96,42.9,43.36,20373925
2016-07-11,43.99,45.36,43.9,44.96,27149115
2016-07-12,44.82,45.5,44.64,44.93,22880825
2016-07-13,45.1,45.12,44.06,44.51,17835310
2016-07-14,44.62,44.99,44.21,44.31,13379170
2016-07-15,44.5,44.55,43.93,44.08,11171235
2016-07-18,43.93,45.42,43.66,45.25,17060275
2016-07-19,45.0,45.82,44.95,45.05,15575325
2016-07-20,45.29,45.96,45.0,45.67,12842490
2016-07-21,45.2,45.57,43.82,44.1,22143255
2016-07-22,44.4,44.9,43.78,44.45,12898460
2016-07-25,44.45,46.28,44.27,46.0,22453415
2016-07-26,45.54,46.0,45.06,45.9,17150210
2016-07-27,45.87,46.67,45.38,45.7,14445035
