Name,Volume,Ask Size,Ask Price,Bid Size,Bid Price,Last Price,Shares Matched,Shares Routed
GVI,2153,0,0.00,0,0.00,117.73,2153,0
USEP,2112,0,0.00,0,0.00,25.90,2112,0
SECT,2111,0,0.00,0,0.00,30.45,1911,200
FJUL,2072,0,0.00,0,0.00,30.88,2072,0
REGL,2047,0,0.00,0,0.00,54.30,2047,0
EBLU,2043,0,0.00,0,0.00,33.95,2043,0
KOCT,2001,0,0.00,0,0.00,24.52,2001,0
BBSA,1924,0,0.00,0,0.00,26.32,1924,0
MFMS,1867,0,0.00,0,0.00,30.70,1867,0
KJAN,1845,0,0.00,0,0.00,25.96,1845,0
NUMG,1845,0,0.00,0,0.00,40.83,1845,0
UOCT,1839,0,0.00,0,0.00,25.63,1839,0
IVAL,1829,0,0.00,0,0.00,25.47,1829,0
DDWM,1784,0,0.00,0,0.00,26.06,1584,200
PBTP,1757,0,0.00,0,0.00,25.84,1757,0
JPHY,1681,0,0.00,0,0.00,50.31,1481,200
VFMO,1669,0,0.00,0,0.00,90.63,1419,250
DTEC,1647,0,0.00,0,0.00,37.39,1647,0
BJAN,1603,0,0.00,0,0.00,29.94,1603,0
BDEC,1587,0,0.00,0,0.00,27.89,1587,0
FMIL,1544,0,0.00,0,0.00,20.50,1544,0
OMFL,1518,0,0.00,0,0.00,31.65,1518,0
FLDR,1505,0,0.00,0,0.00,51.10,1505,0
WFHY,1465,0,0.00,0,0.00,50.59,1365,100
USMF,1450,0,0.00,0,0.00,31.07,1450,0
BUYZ,1378,0,0.00,0,0.00,40.15,1371,7
NUEM,1256,0,0.00,0,0.00,27.86,1256,0
IEHS,1189,0,0.00,0,0.00,33.16,1189,0
EPRF,1158,0,0.00,0,0.00,24.33,1158,0
PJUN,1157,0,0.00,0,0.00,29.03,1157,0
IPFF,1108,0,0.00,0,0.00,14.23,208,900
RVRS,1106,0,0.00,0,0.00,15.60,1106,0
ACIO,1055,0,0.00,0,0.00,26.45,1055,0
IEME,1053,0,0.00,0,0.00,27.57,1053,0
GHYG,991,0,0.00,0,0.00,48.42,991,0
IEDI,987,0,0.00,0,0.00,36.17,977,10
NUDM,986,0,0.00,0,0.00,25.91,986,0
COWZ,975,0,0.00,0,0.00,28.61,975,0
IBMP,923,0,0.00,0,0.00,27.13,923,0
AGT,915,0,0.00,0,0.00,21.26,415,500
IBHB,887,0,0.00,0,0.00,23.75,887,0
CFCV,861,0,0.00,0,0.00,27.14,861,0
IDHD,851,0,0.00,0,0.00,23.53,851,0
PFEB,841,0,0.00,0,0.00,25.04,841,0
LSLT,825,0,0.00,0,0.00,27.10,825,0
IBHC,816,0,0.00,0,0.00,23.77,577,239
BTYS,800,0,0.00,0,0.00,39.25,800,0
IEIH,800,0,0.00,0,0.00,28.81,800,0
IGEB,765,0,0.00,0,0.00,54.68,765,0
UJAN,764,0,0.00,0,0.00,28.52,764,0
POCT,758,0,0.00,0,0.00,26.00,758,0
FIBR,755,0,0.00,0,0.00,101.92,755,0
DDLS,747,0,0.00,0,0.00,27.65,747,0
RYLD,732,0,0.00,0,0.00,20.50,732,0
DIVB,719,0,0.00,0,0.00,28.82,719,0
NJUL,708,0,0.00,0,0.00,41.90,708,0
SHAG,701,0,0.00,0,0.00,51.62,701,0
SYLD,689,0,0.00,0,0.00,34.85,689,0
FDEV,679,0,0.00,0,0.00,25.75,679,0
XMPT,675,0,0.00,0,0.00,27.09,675,0
GMOM,658,0,0.00,0,0.00,24.34,658,0
ESGG,653,0,0.00,0,0.00,110.70,653,0
ADME,649,0,0.00,0,0.00,33.44,649,0
HYDB,645,0,0.00,0,0.00,49.07,645,0
HELX,635,0,0.00,0,0.00,33.52,635,0
IAUF,629,0,0.00,0,0.00,65.34,629,0
EMTL,615,0,0.00,0,0.00,50.05,615,0
GDVD,600,0,0.00,0,0.00,28.54,600,0
